Season,SRS,SOS,Team_Id
2011,13.7,11.67,1277
2013,18.64,10.55,1277
2014,19.35,9.38,1277
2015,17.46,10.0,1277
2016,22.59,6.94,1277
2017,13.73,10.37,1277
2013,11.16,-1.52,1292
2016,2.66,-0.7,1292
2017,9.55,-1.36,1292
2003,7.71,0.81,1454
2005,10.41,1.44,1454
2006,7.65,1.47,1454
2014,-1.53,-0.44,1454
2005,12.06,6.96,1278
2009,11.32,7.19,1278
2010,15.64,7.32,1278
2013,16.83,10.31,1278
2017,15.26,9.08,1278
2013,14.42,4.14,1279
2015,11.39,7.01,1279
2003,17.65,8.0,1280
2004,16.78,6.08,1280
2005,12.55,6.05,1280
2008,13.42,5.74,1280
2009,9.1,4.62,1280
2008,-15.28,-9.5,1290
2012,-8.03,-7.65,1290
2003,14.87,10.15,1281
2009,19.56,6.72,1281
2010,17.39,6.36,1281
2012,19.77,5.68,1281
2011,14.77,6.5,1281
2013,15.41,6.0,1281
2004,-4.84,-5.66,1284
2006,-2.99,-4.05,1284
2005,-3.63,-3.49,1285
2006,4.86,-0.96,1285
2010,3.93,-2.35,1285
2012,4.55,-3.39,1285
2013,-1.11,-4.21,1285
2009,-3.14,-3.61,1287
2011,2.81,-3.13,1287
2009,-2.29,-6.53,1288
2010,-1.18,-6.15,1288
2008,-3.59,-5.12,1291
2014,-6.32,-4.44,1291
2017,-4.34,-4.11,1291
2004,7.22,-3.2,1293
2006,4.16,-5.07,1293
2010,8.69,-3.89,1293
2012,8.74,-2.6,1293
2014,10.13,8.5,1304
2004,14.91,5.82,1305
2005,9.25,3.02,1305
2006,10.16,2.26,1305
2007,10.58,1.09,1305
2017,10.7,1.67,1305
2007,12.98,5.37,1424
2008,10.23,4.02,1424
2010,12.57,4.82,1424
2012,13.55,4.37,1424
2011,14.67,6.0,1424
2013,12.92,5.71,1424
2005,11.09,1.51,1307
2010,12.49,3.84,1307
2012,15.6,3.34,1307
2013,13.28,6.63,1307
2014,12.72,4.84,1307
2007,5.04,0.01,1308
2010,2.06,1.66,1308
2012,8.73,0.08,1308
2013,5.11,0.7,1308
2014,6.16,-2.58,1308
2015,3.71,-3.67,1308
2017,4.66,-4.71,1308
2017,-4.25,-5.49,1309
2005,3.12,-3.08,1310
2007,-3.41,-4.7,1310
2012,-3.68,-5.39,1313
2004,19.4,12.04,1314
2005,28.42,10.66,1314
2006,18.48,7.77,1314
2007,26.41,9.3,1314
2008,24.17,8.12,1314
2009,25.46,8.35,1314
2012,21.34,7.07,1314
2011,18.87,10.15,1314
2013,14.52,8.01,1314
2014,15.24,8.42,1314
2015,20.63,11.76,1314
2016,23.44,10.69,1314
2017,25.09,11.67,1314
2013,-6.94,-6.3,1299
2014,3.97,-8.03,1300
2017,-2.71,-12.08,1300
2003,11.76,7.57,1301
2004,18.45,10.61,1301
2005,16.16,9.16,1301
2006,12.7,5.63,1301
2012,12.1,6.8,1301
2013,14.32,7.17,1301
2014,9.02,7.44,1301
2015,14.11,9.72,1301
2003,-13.19,-5.61,1421
2012,3.06,-2.72,1421
2011,-0.69,-2.89,1421
2016,1.1,-3.25,1421
2003,8.52,-2.8,1423
2006,8.9,0.57,1423
2016,6.25,0.35,1423
2017,8.04,-0.99,1423
2017,-1.81,-6.2,1315
2009,6.18,-2.72,1295
2014,6.31,-0.02,1295
2015,-1.72,-3.63,1295
2015,-0.82,-5.94,1316
2007,-3.11,-6.59,1317
2010,-2.49,-4.72,1317
2015,2.03,-1.34,1318
2011,1.39,-2.24,1294
2004,6.87,3.2,1320
2005,10.14,5.31,1320
2006,11.55,5.13,1320
2009,5.63,2.24,1320
2010,12.03,4.27,1320
2015,12.54,2.0,1320
2016,8.78,4.44,1320
2017,-0.45,-3.48,1297
2017,14.16,8.13,1321
2006,4.01,-1.38,1322
2013,0.41,-3.77,1322
2003,17.32,9.43,1323
2007,16.94,4.97,1323
2008,16.15,7.03,1323
2010,13.14,6.22,1323
2012,11.18,6.47,1323
2011,18.17,8.43,1323
2013,13.74,7.22,1323
2015,19.23,7.02,1323
2016,14.1,9.57,1323
2017,18.94,10.15,1323
2005,-2.66,0.86,1324
2010,-0.64,-2.96,1324
2011,8.28,0.1,1324
2005,5.36,1.8,1325
2010,4.56,-0.03,1325
2012,7.17,0.17,1325
2006,16.08,5.9,1326
2007,21.54,9.03,1326
2009,12.48,8.23,1326
2010,19.49,7.37,1326
2012,23.95,9.07,1326
2011,25.84,8.38,1326
2013,20.19,9.32,1326
2014,17.84,8.12,1326
2015,19.68,7.37,1326
2003,18.86,8.53,1328
2005,19.96,8.84,1328
2006,11.89,6.79,1328
2008,11.97,7.85,1328
2009,18.07,6.88,1328
2013,11.4,7.09,1328
2014,14.91,8.97,1328
2015,18.65,9.94,1328
2016,19.76,11.14,1328
2003,14.62,8.46,1329
2004,20.85,7.23,1329
2005,21.4,9.68,1329
2009,13.78,7.44,1329
2010,12.34,6.97,1329
2013,15.57,6.73,1329
2014,19.02,8.34,1329
2015,12.95,9.63,1329
2017,19.25,12.02,1329
2005,5.97,-2.59,1330
2007,7.83,0.44,1330
2010,11.39,1.78,1330
2011,9.03,1.76,1330
2006,3.23,-2.35,1331
2007,4.54,-1.04,1331
2008,5.71,-0.26,1331
2003,14.05,6.11,1332
2007,15.95,6.3,1332
2008,11.68,7.65,1332
2013,13.82,5.77,1332
2014,15.75,8.05,1332
2015,11.43,7.65,1332
2016,18.05,8.64,1332
2017,20.62,7.31,1332
2016,10.39,9.26,1333
2004,5.76,0.95,1334
2005,8.95,1.16,1334
2006,6.93,-1.57,1334
2013,1.96,1.05,1334
2011,11.98,11.45,1336
2003,8.44,-1.45,1335
2005,4.71,-1.98,1335
2006,6.01,-2.31,1335
2007,4.16,-1.64,1335
2003,21.49,5.79,1338
2004,18.2,6.49,1338
2005,14.53,5.73,1338
2006,16.37,7.01,1338
2007,16.99,8.53,1338
2008,15.62,7.84,1338
2009,21.21,8.61,1338
2010,14.3,7.39,1338
2011,20.82,7.85,1338
2013,18.82,5.63,1338
2014,17.46,7.54,1338
2016,15.47,8.75,1338
2008,1.72,-3.01,1340
2009,1.14,-3.16,1340
2004,1.54,-3.32,1343
2011,3.71,-1.61,1343
2017,6.45,-2.34,1343
2004,14.87,8.21,1344
2014,11.37,7.85,1344
2015,13.71,9.5,1344
2016,11.94,8.46,1344
2017,11.8,8.18,1344
2003,15.95,9.42,1345
2007,14.65,8.89,1345
2008,13.1,5.9,1345
2009,16.44,7.17,1345
2010,17.52,8.81,1345
2012,13.88,8.05,1345
2011,19.36,8.69,1345
2015,12.93,7.64,1345
2016,20.17,7.46,1345
2017,21.33,8.36,1345
2009,-4.55,-4.37,1347
2017,12.57,4.09,1348
2004,10.07,5.07,1350
2010,10.03,3.43,1350
2011,11.23,2.79,1350
2009,-0.7,-5.23,1352
2010,-3.71,-6.15,1352
2015,-3.02,-3.5,1352
2003,14.61,3.71,1386
2004,20.03,4.97,1386
2008,9.63,3.98,1386
2014,9.05,5.08,1386
2016,12.1,4.93,1386
2012,15.15,4.06,1387
2013,14.33,4.28,1387
2014,11.63,4.24,1387
2005,6.68,2.4,1388
2008,11.39,0.36,1388
2010,13.38,2.2,1388
2012,11.26,0.78,1388
2013,14.51,3.31,1388
2017,17.16,1.66,1388
2011,-0.28,-1.08,1389
2003,-1.65,-6.87,1358
2010,3.71,-3.37,1358
2003,5.46,2.74,1360
2008,3.39,1.45,1360
2006,9.81,3.65,1361
2010,11.34,4.21,1361
2012,9.04,3.79,1361
2011,17.96,6.36,1361
2013,13.01,6.19,1361
2014,14.95,4.86,1361
2015,11.81,4.24,1361
2004,14.28,7.78,1371
2006,6.78,6.11,1371
2016,14.66,8.28,1371
2017,12.57,9.44,1371
2008,4.06,-1.62,1373
2009,8.05,0.99,1373
2010,8.48,-1.17,1373
2006,4.88,-2.18,1375
2008,7.76,-1.21,1375
2004,12.77,5.33,1376
2017,15.5,8.56,1376
2003,-9.2,-10.14,1354
2012,7.34,-1.87,1355
2013,2.36,-3.27,1355
2016,5.44,-1.22,1355
2017,-2.38,-1.31,1355
2012,9.2,7.29,1378
2005,-0.86,-5.22,1368
2006,-5.97,-6.69,1380
2013,-2.61,-10.31,1380
2016,-7.68,-9.37,1380
2007,13.78,7.87,1425
2008,13.89,8.59,1425
2009,14.09,9.15,1425
2011,11.52,7.97,1425
2016,13.52,7.64,1425
2017,11.08,5.56,1425
2003,8.57,2.37,1356
2004,10.7,2.64,1356
2005,11.53,5.12,1356
2006,8.93,4.62,1356
2007,13.59,7.53,1356
2015,12.94,3.57,1374
2017,19.14,4.43,1374
2012,7.79,3.61,1379
2012,8.25,2.84,1382
2011,13.1,10.01,1385
2015,11.85,9.04,1385
2003,13.25,8.37,1390
2004,17.46,4.34,1390
2005,9.1,8.13,1390
2007,11.16,9.06,1390
2008,16.31,6.95,1390
2014,13.42,9.0,1390
2009,1.1,-3.21,1372
2014,4.82,-6.76,1372
2015,8.61,-4.2,1372
2016,9.23,-5.47,1372
2016,3.75,-5.28,1392
2003,19.02,9.02,1393
2004,13.06,7.61,1393
2005,15.95,6.83,1393
2006,11.68,8.16,1393
2009,17.24,9.48,1393
2010,21.72,7.21,1393
2012,21.12,8.02,1393
2011,18.85,8.79,1393
2013,20.3,8.57,1393
2014,16.05,7.25,1393
2016,14.62,9.75,1393
2008,8.16,4.57,1396
2009,9.05,3.9,1396
2010,12.44,4.27,1396
2012,10.44,4.94,1396
2011,12.35,4.23,1396
2013,9.52,5.2,1396
2016,7.69,6.57,1396
2006,14.73,7.76,1397
2007,14.97,9.15,1397
2008,18.41,7.84,1397
2009,13.6,7.71,1397
2010,16.05,7.75,1397
2011,11.08,8.73,1397
2014,17.34,7.84,1397
2003,18.91,9.27,1400
2004,18.52,8.4,1400
2005,15.49,7.56,1400
2006,21.89,6.99,1400
2007,15.6,6.12,1400
2008,18.13,8.59,1400
2009,14.83,8.09,1400
2010,18.56,7.38,1400
2012,14.0,8.12,1400
2011,20.82,7.96,1400
2014,12.67,9.15,1400
2015,16.16,9.07,1400
2016,14.8,11.71,1400
2006,13.19,4.77,1401
2007,21.27,5.13,1401
2008,16.2,7.46,1401
2009,10.52,6.13,1401
2010,15.24,9.8,1401
2011,12.62,5.94,1401
2016,18.45,8.45,1401
2007,3.07,-4.8,1394
2003,-9.57,-11.21,1411
2014,-8.41,-10.07,1411
2015,-5.98,-6.09,1411
2017,-5.95,-8.54,1411
2004,14.71,8.21,1403
2005,16.24,9.11,1403
2007,9.71,7.16,1403
2016,12.41,10.25,1403
2008,-2.87,-4.62,1426
2004,11.42,3.55,1431
2005,9.61,0.91,1431
2010,12.66,1.96,1431
2004,-7.22,-6.11,1427
2011,-5.8,-4.93,1427
2003,2.86,-4.8,1407
2017,-0.29,-3.91,1407
2003,10.41,2.29,1409
2014,6.23,1.17,1409
2016,9.79,5.76,1409
2017,-5.02,-5.52,1413
2015,3.63,0.45,1414
2010,-0.13,-1.09,1364
2011,1.22,0.12,1364
2005,9.16,7.09,1417
2006,17.34,8.27,1417
2007,20.9,9.84,1417
2008,21.71,7.71,1417
2009,18.64,7.19,1417
2011,11.7,7.93,1417
2013,12.88,7.82,1417
2014,18.4,7.62,1417
2015,12.07,8.27,1417
2017,20.77,5.74,1417
2003,11.77,7.58,1143
2006,12.31,8.84,1143
2009,13.3,7.21,1143
2010,17.29,8.26,1143
2012,13.79,4.53,1143
2013,10.65,7.77,1143
2016,15.39,7.87,1143
2003,11.0,5.25,1428
2004,11.37,4.53,1428
2005,14.01,4.54,1428
2009,12.59,5.72,1428
2015,20.98,7.42,1428
2016,15.5,8.79,1428
2003,4.16,-1.43,1429
2005,12.75,-1.47,1429
2006,7.76,1.79,1429
2009,9.33,0.07,1429
2010,13.62,1.23,1429
2011,13.23,0.5,1429
2004,-0.09,0.01,1434
2013,7.15,-1.13,1434
2015,6.29,-2.0,1434
